fybr_meter_id,meter_id,zone_id
8140,K295,31070
8173,K658,31031
8180,K608,31032
8185,K130,31079
8147,K716,31024
8203,K578,31015
8178,K620,31033
8179,K610,31032
8182,K604,31032
8183,K602,31032
8234,B008,LIVINGSTON AVE W
8143,K724,31024
8145,K720,31024
8151,K708,31024
8150,K710,31024
8171,K662,31031
8172,K660,31031
8153,K682,31024
8154,K684,31024
8181,K606,31032
8139,K297,31070
8141,K293,31070
8160,K696,31024
8161,K698,31024
8162,K700,31024
8184,K600,31032
8217,K516,31028
8208,K108,31067
8210,K112,31067
8213,K171,31068
8157,K690,31024
8233,B007,LIVINGSTON AVE W
8235,B009,LIVINGSTON AVE W
8236,B010,LIVINGSTON AVE W
8144,K722,31024
8146,K718,31024
8152,K706,31024
8142,K291,31070
8165,K674,31031
8237,B011,LIVINGSTON AVE W
8149,K712,31024
8187,K134,31073
8156,K688,31024
8174,K656,31032
8175,K654,31032
8239,B013,LIVINGSTON AVE W
8240,B014,LIVINGSTON AVE W
8205,K550,31038
8215,K175,31068
8230,B004,LIVINGSTON AVE W
8197,K566,31014
8291,B026,LIVINGSTON AVE W
8163,K702,31024
8170,K664,31031
8221,K500,31029
8195,K187,31050
8196,K189,31050
8198,K568,31014
8244,B018,LIVINGSTON AVE W
8218,K514,31028
8164,K704,31024
8238,B012,LIVINGSTON AVE W
8190,K120,31049
8206,K548,31038
8209,K110,31067
8191,K122,31049
8193,K126,31049
8194,K128,31049
8199,K570,31014
8246,B020,LIVINGSTON AVE W
8186,K132,31079
8188,K136,31073
8228,B002,LIVINGSTON AVE W
8229,B003,LIVINGSTON AVE W
8155,K686,31024
8227,B001,LIVINGSTON AVE W
8231,B005,LIVINGSTON AVE W
8214,K173,31068
8243,B017,LIVINGSTON AVE W
8192,K124,31049
8177,K650,31031
8216,K518,31028
8207,K106,31067
8212,K169,31068
8292,B027,LIVINGSTON AVE E
8211,K114,31067
8241,B015,LIVINGSTON AVE W
8242,B016,LIVINGSTON AVE W
8245,B019,LIVINGSTON AVE W
8176,K652,31031
8222,K498,31081
8158,K692,31024
8159,K694,31024
8166,K672,31031
8167,K670,31031
8168,K668,31031
8169,K666,31031
8219,K512,31028
8220,K502,31029
8204,K580,31015
8287,B022,LIVINGSTON AVE W
8289,B024,LIVINGSTON AVE W
8200,K572,31014
8201,K574,31014
8202,K576,31014
