zoneID,lat,lon,meter_num,meter_ids,meter_coords,active_meters_201501,cluster_id
31001,39.97725387,-83.00426951,1,['K174'],"[(39.97725387, -83.00426951)]",1,0
31002,39.99140647,-83.00610801333333,3,"['K300', 'K302', 'K304']","[(39.99141006, -83.00617705), (39.99140618, -83.00610911), (39.99140317, -83.00603788)]",3,2
31003,39.991264487500004,-83.005779155,4,"['K301', 'K303', 'K305', 'K307']","[(39.99126605, -83.00583082), (39.9912639, -83.0057618), (39.991264, -83.005762), (39.991264, -83.005762)]",2,5
31004,39.980142936,-83.004614674,5,"['K730', 'K732', 'K734', 'K736', 'K738']","[(39.98013524, -83.00445036), (39.98013813, -83.0045302), (39.98014367, -83.00461916), (39.98014658, -83.0046948), (39.98015106, -83.00477885)]",5,0
31005,39.98003026666667,-83.00456197,6,"['K731', 'K733', 'K735', 'K737', 'K739', 'K741']","[(39.98001979, -83.0043683), (39.98002326, -83.00443834), (39.98002829, -83.0045203), (39.98003332, -83.00460225), (39.98003676, -83.00467999), (39.98004018, -83.00476264)]",6,0
31006,39.98592884,-83.00490428,1,['K900'],"[(39.98592884, -83.00490428)]",1,2
31007,39.9859142775,-83.00452453499999,4,"['K904', 'K906', 'K908', 'K902']","[(39.98591473, -83.00453411), (39.98591125, -83.00442944), (39.98590579, -83.00432987), (39.98592534, -83.00480472)]",4,3
31008,39.9858123,-83.00483675,4,"['K951', 'K953', 'K955', 'K957']","[(39.98581897, -83.00496835), (39.98581445, -83.00488267), (39.98580771, -83.00478977), (39.98580807, -83.00470621)]",4,3
31009,39.9853138725,-83.00553803,4,"['K800', 'K802', 'K804', 'K806']","[(39.98530854, -83.00541358), (39.98531352, -83.0054954), (39.985315299999996, -83.00557859), (39.98531813, -83.00566455)]",4,3
31010,39.97376662106383,-83.00692000617023,47,"['K10', 'K2', 'K4', 'K6', 'K8', 'K18', 'K20', 'K22', 'K24', 'K26', 'K28', 'K30', 'K32', 'K34', 'K36', 'K38', 'K40', 'K42', 'K44', 'K46', 'K48', 'K50', 'K52', 'K54', 'K56', 'K58', 'K60', 'K62', 'K64', 'K66', 'K68', 'K70', 'K72', 'K74', 'K76', 'K100', 'K78', 'K80', 'K82', 'K84', 'K86', 'K88', 'K90', 'K92', 'K94', 'K96', 'K98']","[(39.97368747, -83.00519305), (39.97367337, -83.00487891), (39.97367738, -83.0049511), (39.97368147, -83.00503012), (39.97368748, -83.00510793), (39.97370353, -83.00548637), (39.97370748, -83.00555684), (39.97371038, -83.0056462), (39.97371241, -83.00571822), (39.97371739, -83.0058093), (39.97371839, -83.00587232), (39.97372229, -83.00596046), (39.97372539999999, -83.00604241), (39.97373338, -83.00612999), (39.97373838, -83.00620088), (39.97373831, -83.00629019), (39.97374234, -83.00636807), (39.97374634, -83.00645159), (39.97374735, -83.00652420000002), (39.97375246, -83.00661256), (39.97375329, -83.00668727), (39.97376135, -83.00678198), (39.97376335, -83.00684997), (39.97376939, -83.00694708), (39.97377138, -83.00702104), (39.97377599, -83.00710476), (39.97378099, -83.00718876), (39.97378607, -83.00727373), (39.97378541, -83.00734046), (39.97378895, -83.00742918), (39.97379136, -83.00750548), (39.97379801, -83.00759520000001), (39.97380101, -83.00766718), (39.97380501, -83.00776217), (39.9738071, -83.00783027), (39.97385045, -83.00881405), (39.97381042, -83.00793023), (39.973814399999995, -83.00799703), (39.97381908, -83.00808753), (39.97382006, -83.00815836), (39.97382506, -83.00824037), (39.97383007, -83.00832738), (39.97383307, -83.00840838), (39.97383544, -83.008488), (39.9738411, -83.00858244), (39.97384369, -83.00865365), (39.97384669, -83.00873763)]",47,5
31011,39.97359364169014,-83.00618080985916,71,"['K1', 'K11', 'K13', 'K15', 'K17', 'K19', 'K21', 'K23', 'K25', 'K27', 'K29', 'K3', 'K31', 'K33', 'K35', 'K37', 'K5', 'K7', 'K9', 'K41', 'K43', 'K45', 'K47', 'K49', 'K51', 'K53', 'K55', 'K57', 'K59', 'K61', 'K63', 'K65', 'K67', 'K69', 'K71', 'K73', 'K75', 'K77', 'K79', 'K81', 'K101', 'K103', 'K105', 'K107', 'K109', 'K111', 'K113', 'K115', 'K117', 'K119', 'K121', 'K123', 'K125', 'K127', 'K129', 'K131', 'K133', 'K135', 'K137', 'K139', 'K141', 'K39', 'K83', 'K85', 'K87', 'K89', 'K91', 'K93', 'K95', 'K97', 'K99']","[(39.97353857, -83.00491471), (39.97354332, -83.00506798), (39.97354899, -83.00513608), (39.97354763, -83.00514228), (39.97355211, -83.00521136), (39.97354999, -83.00521712), (39.97355473, -83.00527984), (39.97355305, -83.00528458), (39.97355820000001, -83.00535626), (39.97355697, -83.00536128), (39.97356191, -83.00542977), (39.97353641, -83.00492112), (39.97356087, -83.00543485), (39.97356486, -83.00550471), (39.97356437, -83.00550892), (39.97356797, -83.00555724), (39.9735423, -83.00498875), (39.97354127, -83.00499546), (39.97354442, -83.00506024), (39.9735687, -83.00562223), (39.9735737, -83.00568381), (39.97357205, -83.00569255), (39.97357657, -83.00575562), (39.97357395, -83.00576376), (39.97357863, -83.00582973), (39.97357763, -83.00583777), (39.97358263, -83.00590272), (39.97358097, -83.00591072), (39.97358561, -83.00597589), (39.97358461, -83.00598387), (39.97358995, -83.00604944), (39.97358894, -83.00605742), (39.97359228, -83.00612154), (39.97359097, -83.00613055), (39.97359547, -83.00619409), (39.97359414, -83.00620372), (39.97359938, -83.00626871), (39.97359809, -83.00627703), (39.9736, -83.00633909999999), (39.973599, -83.00634872), (39.97361643, -83.00671414), (39.97362172, -83.0067787), (39.97362072, -83.00678772), (39.9736243, -83.00685290000001), (39.97362266, -83.00686165), (39.97362829, -83.00692659), (39.97362662, -83.00693566), (39.973630299999996, -83.00700019), (39.97362896, -83.00700968), (39.97363392, -83.0070737), (39.97363195, -83.00708288), (39.97363784, -83.00714657), (39.97363616, -83.00715490000002), (39.97363964, -83.00722037), (39.97363759, -83.00722715), (39.97364227, -83.00729489), (39.97364009, -83.00730018), (39.97364627, -83.00736493), (39.97364396, -83.00737147), (39.97364694, -83.00743528), (39.97364454, -83.00744218), (39.97357102, -83.00561161), (39.97360456, -83.00641332), (39.97360354, -83.00642258), (39.97360793, -83.00648687), (39.97360695, -83.00649583), (39.97360939, -83.0065575), (39.973608399999996, -83.00656756), (39.97361433, -83.00663183), (39.97361202, -83.00664176), (39.97361804, -83.00670537)]",71,5
31012,39.986136125087725,-83.00590342385966,57,"['F46', 'F47', 'F48', 'F49', 'F50', 'F51', 'F52', 'F53', 'F54', 'F55', 'F56', 'F57', 'F58', 'F59', 'F3', 'F4', 'F5', 'F6', 'F10', 'F11', 'F12', 'F13', 'F14', 'F15', 'F16', 'F17', 'F18', 'F7', 'F8', 'F9', 'F19', 'F20', 'F21', 'F22', 'F23', 'F24', 'F25', 'F26', 'F27', 'F28', 'F29', 'F30', 'F31', 'F32', 'F33', 'F34', 'F35', 'F36', 'F37', 'F38', 'F39', 'F40', 'F41', 'F42', 'F43', 'F44', 'F45']","[(39.98588269, -83.0062321), (39.98590583, -83.00622996), (39.98592987, -83.00622666), (39.98595302, -83.00622336), (39.98597883, -83.00622355), (39.98600554, -83.00622028), (39.98603046, -83.0062193), (39.98605449, -83.00621716), (39.98608031, -83.00621504), (39.98610345, -83.00621405), (39.98612925, -83.00621308), (39.98615419, -83.00620979), (39.98618176, -83.00621115), (39.98620669, -83.00620902), (39.98607084, -83.00551974), (39.98609665, -83.00551877), (39.98612157, -83.00551779), (39.98614738, -83.00551682), (39.98610899, -83.00575369), (39.9861339, -83.00575387), (39.98615705, -83.00575172), (39.98602968, -83.00576617), (39.9860576, -83.00576513), (39.98608402, -83.00576623), (39.98610983, -83.00576526), (39.98613474, -83.00576544), (39.986157, -83.00576329), (39.98602889, -83.00575657), (39.98605738, -83.00575447), (39.98608318, -83.0057535), (39.986042100000006, -83.00599612), (39.98606524, -83.00599398), (39.98609194, -83.00599302), (39.98611775, -83.00599205), (39.98613912, -83.00598873), (39.98616405, -83.00598659999999), (39.98604204, -83.00601001), (39.98606519, -83.0060067), (39.98609155, -83.00600382), (39.98611774, -83.00600255), (39.98613999, -83.00600015), (39.98616366, -83.00599666), (39.98628259, -83.00552822), (39.98628334, -83.00555946), (39.98628322, -83.00558953), (39.98628575, -83.00562194), (39.98628737, -83.00565781), (39.98628903, -83.00568675), (39.98628977, -83.0057203), (39.98628964, -83.00575038), (39.98629128, -83.00578393), (39.98628935, -83.00581862), (39.98629191, -83.00584409), (39.98629264, -83.00587996), (39.9862934, -83.00591120000001), (39.98629682, -83.00594361), (39.98629757, -83.00597601)]",57,5
31014,39.97710749833333,-83.003415855,6,"['K566', 'K568', 'K570', 'K572', 'K574', 'K576']","[(39.978386, -83.003668), (39.978386, -83.003668), (39.97638439, -83.00327209999999), (39.976433899999996, -83.00328305), (39.97649885, -83.00329299), (39.97655585, -83.00331099)]",4,0
31015,39.976653354999996,-83.00332899,2,"['K578', 'K580']","[(39.97662185, -83.00332299), (39.97668486, -83.00333499)]",2,8
31016,39.97777813555555,-83.00377565111111,9,"['K603', 'K605', 'K607', 'K609', 'K611', 'K619', 'K621', 'K629', 'K631']","[(39.97740402, -83.00369239), (39.9774544, -83.00370433), (39.97751444, -83.00371434), (39.97761157, -83.00373166), (39.97764564, -83.00374537), (39.97790713, -83.0038105), (39.97796595, -83.00382333), (39.97822757, -83.00387148), (39.978272499999996, -83.00388746)]",9,7
31017,39.989605061249996,-83.00609799875001,8,"['K1101', 'K1103', 'K1105', 'K1107', 'K1109', 'K1111', 'K1113', 'K1115']","[(39.98928158, -83.00603352), (39.98934111, -83.0060457), (39.98940285, -83.00605918), (39.98952969, -83.00608182), (39.98968823, -83.00611337), (39.98976165, -83.00612911), (39.98988015, -83.00615169), (39.98995523, -83.00616959999999)]",8,5
31018,39.991812247999995,-83.00631323200001,10,"['K1702', 'K1704', 'K1706', 'K1708', 'K1710', 'K1712', 'K1714', 'K1716', 'K1718', 'K1700']","[(39.99154914, -83.00626407), (39.99161462, -83.00627616), (39.9916801, -83.00628826), (39.99174556, -83.00630422), (39.9918825, -83.00632459), (39.99194202, -83.00633664), (39.9920075, -83.00634873), (39.99207298, -83.00636083), (39.99213844, -83.0063768), (39.99148962, -83.00625202)]",0,
